iter	Passed	Remaining
251	1871	5554
252	1877	5542
253	1883	5533
254	1890	5522
255	1897	5514
256	1903	5503
257	1910	5494
258	1916	5483
259	1923	5473
260	1929	5461
261	1935	5453
262	1942	5442
263	1948	5432
264	1954	5422
265	1960	5410
266	1966	5398
267	1972	5388
268	1979	5378
269	1985	5368
270	1991	5358
271	1998	5349
272	2004	5338
273	2010	5327
274	2018	5320
275	2023	5309
276	2030	5300
277	2036	5289
278	2043	5281
279	2050	5271
280	2057	5263
281	2063	5254
282	2070	5246
283	2076	5235
284	2083	5226
285	2089	5215
286	2095	5204
287	2101	5194
288	2106	5182
289	2113	5174
290	2119	5164
291	2126	5155
292	2132	5145
293	2139	5137
294	2145	5127
295	2152	5119
296	2158	5108
297	2164	5099
298	2170	5089
299	2177	5079
300	2183	5069
301	2189	5059
302	2195	5050
303	2202	5041
304	2208	5033
305	2214	5023
306	2221	5015
307	2228	5006
308	2235	4998
309	2241	4988
310	2248	4981
311	2254	4971
312	2260	4962
313	2266	4952
314	2273	4943
315	2279	4934
316	2286	4926
317	2292	4917
318	2299	4909
319	2306	4901
320	2313	4892
321	2318	4882
322	2324	4872
323	2330	4862
324	2336	4852
325	2343	4845
326	2350	4837
327	2357	4830
328	2364	4821
329	2371	4815
330	2379	4808
331	2385	4799
332	2393	4793
333	2399	4785
334	2406	4776
335	2412	4767
336	2419	4760
337	2426	4751
338	2433	4744
339	2439	4735
340	2446	4727
341	2452	4718
342	2460	4712
343	2466	4702
344	2473	4696
345	2481	4689
346	2487	4681
347	2493	4672
348	2500	4665
349	2507	4656
350	2514	4648
351	2520	4639
352	2526	4630
353	2532	4621
354	2538	4612
355	2544	4603
356	2550	4594
357	2557	4586
358	2563	4576
359	2570	4570
360	2576	4561
361	2584	4554
362	2590	4545
363	2596	4537
364	2602	4528
365	2609	4520
366	2615	4511
367	2621	4502
368	2628	4494
369	2635	4487
370	2642	4479
371	2649	4472
372	2656	4464
373	2662	4457
374	2668	4448
375	2675	4440
376	2681	4431
377	2688	4423
378	2694	4414
379	2700	4406
380	2707	4399
381	2713	4390
382	2720	4382
383	2726	4373
384	2732	4365
385	2738	4356
386	2745	4348
387	2751	4339
388	2757	4331
389	2763	4322
390	2769	4314
391	2776	4305
392	2781	4296
393	2789	4290
394	2796	4283
395	2802	4274
396	2808	4265
397	2814	4257
398	2820	4248
399	2828	4242
400	2834	4233
401	2841	4226
402	2847	4217
403	2854	4210
404	2859	4201
405	2865	4193
406	2872	4184
407	2878	4176
408	2885	4168
409	2891	4161
410	2897	4152
411	2905	4146
412	2912	4138
413	2918	4131
414	2925	4123
415	2931	4115
416	2937	4106
417	2943	4098
418	2949	4089
419	2955	4081
420	2961	4073
421	2967	4064
422	2974	4057
423	2980	4048
424	2986	4041
425	2992	4032
426	2999	4024
427	3005	4016
428	3011	4007
429	3017	4000
430	3024	3992
431	3030	3984
432	3036	3976
433	3042	3968
434	3048	3959
435	3055	3952
436	3060	3943
437	3068	3936
438	3074	3929
439	3081	3921
440	3087	3914
441	3095	3907
442	3101	3899
443	3109	3893
444	3115	3885
445	3121	3877
446	3127	3869
447	3134	3862
448	3140	3854
449	3146	3846
450	3152	3837
451	3159	3830
452	3165	3822
453	3171	3814
454	3178	3806
455	3183	3798
456	3190	3791
457	3196	3783
458	3203	3775
459	3208	3766
460	3215	3759
461	3221	3751
462	3228	3744
463	3234	3736
464	3241	3729
465	3248	3722
466	3255	3715
467	3261	3707
468	3269	3701
469	3275	3693
470	3282	3687
471	3289	3679
472	3296	3672
473	3301	3663
474	3308	3656
475	3314	3648
476	3321	3642
477	3328	3634
478	3334	3627
479	3339	3618
480	3345	3609
481	3352	3602
482	3357	3594
483	3363	3586
484	3369	3577
485	3373	3568
486	3379	3559
487	3386	3553
488	3391	3543
489	3397	3536
490	3402	3527
491	3407	3518
492	3413	3510
493	3420	3503
494	3426	3495
495	3432	3487
496	3439	3481
497	3445	3473
498	3450	3464
499	3456	3456
500	3462	3448
501	3467	3439
502	3471	3430
503	3478	3422
504	3482	3413
505	3487	3405
506	3492	3395
507	3496	3386
508	3503	3380
509	3508	3370
510	3513	3362
511	3518	3353
512	3522	3344
513	3528	3335
514	3532	3326
515	3537	3317
516	3541	3308
517	3546	3299
518	3551	3291
519	3555	3282
520	3559	3272
521	3564	3264
522	3569	3255
523	3575	3247
524	3582	3240
525	3588	3233
526	3595	3227
527	3600	3218
528	3607	3211
529	3611	3202
530	3618	3195
531	3624	3188
532	3630	3181
533	3635	3172
534	3640	3164
535	3645	3156
536	3650	3147
537	3656	3140
538	3661	3131
539	3665	3122
540	3673	3116
541	3681	3110
542	3689	3105
543	3697	3099
544	3703	3091
545	3709	3084
546	3716	3077
547	3720	3068
548	3727	3061
549	3733	3054
550	3739	3047
551	3745	3039
552	3750	3031
553	3756	3024
554	3764	3018
555	3768	3009
556	3773	3000
557	3780	2994
558	3786	2986
559	3793	2980
560	3797	2971
561	3803	2964
562	3807	2955
563	3813	2948
564	3819	2940
565	3823	2932
566	3829	2924
567	3834	2916
568	3841	2910
569	3848	2902
570	3852	2894
571	3858	2887
572	3863	2878
573	3869	2871
574	3875	2864
575	3880	2856
576	3884	2848
577	3889	2839
578	3895	2832
579	3900	2824
580	3906	2817
581	3911	2809
582	3916	2801
583	3921	2793
584	3927	2786
585	3935	2780
586	3939	2771
587	3945	2764
588	3950	2756
589	3957	2750
590	3963	2742
591	3967	2734
592	3973	2727
593	3977	2718
594	3983	2711
595	3988	2703
596	3992	2694
597	3998	2687
598	4002	2679
599	4008	2672
600	4012	2664
601	4017	2655
602	4022	2648
603	4028	2641
604	4034	2634
605	4039	2626
606	4045	2619
607	4049	2611
608	4055	2603
609	4061	2596
610	4067	2589
611	4075	2583
612	4080	2575
613	4088	2570
614	4093	2562
615	4100	2555
616	4106	2548
617	4111	2541
618	4116	2533
619	4120	2525
620	4128	2519
621	4132	2511
622	4138	2504
623	4145	2497
624	4153	2492
625	4158	2484
626	4165	2477
627	4170	2470
628	4175	2462
629	4180	2455
630	4185	2447
631	4193	2441
632	4197	2433
633	4204	2427
634	4209	2419
635	4214	2411
636	4219	2404
637	4224	2396
638	4231	2390
639	4236	2383
640	4242	2375
641	4246	2368
642	4251	2360
643	4257	2353
644	4261	2345
645	4267	2338
646	4272	2330
647	4277	2323
648	4283	2316
649	4288	2309
650	4295	2302
651	4299	2294
652	4305	2288
653	4312	2281
654	4317	2274
655	4322	2266
656	4326	2258
657	4332	2251
658	4337	2244
659	4342	2236
660	4347	2229
661	4351	2221
662	4357	2214
663	4361	2207
664	4368	2200
665	4374	2193
666	4379	2186
667	4387	2180
668	4392	2173
669	4398	2166
670	4402	2158
671	4407	2151
672	4412	2143
673	4416	2136
674	4424	2130
675	4428	2122
676	4433	2115
677	4438	2108
678	4443	2100
679	4449	2093
680	4454	2086
681	4461	2080
682	4466	2072
683	4472	2066
684	4478	2059
685	4483	2052
686	4488	2044
687	4492	2037
688	4497	2030
689	4501	2022
690	4506	2015
691	4511	2007
692	4517	2001
693	4521	1993
694	4526	1986
695	4531	1979
696	4538	1973
697	4544	1966
698	4550	1959
699	4554	1952
700	4559	1944
701	4566	1938
702	4570	1930
703	4576	1924
704	4580	1916
705	4585	1909
706	4590	1902
707	4595	1895
708	4600	1888
709	4604	1880
710	4609	1873
711	4614	1866
712	4619	1859
713	4624	1852
714	4630	1845
715	4635	1838
716	4640	1831
717	4645	1824
718	4651	1817
719	4656	1810
720	4661	1803
721	4668	1797
722	4672	1790
723	4678	1783
724	4682	1776
725	4687	1769
726	4692	1762
727	4697	1755
728	4703	1748
729	4708	1741
730	4712	1734
731	4718	1727
732	4724	1720
733	4730	1714
734	4734	1707
735	4739	1699
736	4744	1692
737	4750	1686
738	4755	1679
739	4759	1672
740	4766	1666
741	4771	1659
742	4775	1651
743	4781	1645
744	4785	1638
745	4790	1631
746	4796	1624
747	4801	1617
748	4806	1610
749	4811	1603
750	4818	1597
751	4822	1590
752	4827	1583
753	4834	1577
754	4839	1570
755	4846	1564
756	4851	1557
757	4856	1550
758	4862	1544
759	4868	1537
760	4873	1530
761	4878	1523
762	4884	1517
763	4890	1510
764	4894	1503
765	4899	1496
766	4905	1490
767	4909	1483
768	4915	1476
769	4920	1469
770	4926	1463
771	4932	1456
772	4936	1449
773	4942	1443
774	4946	1436
775	4952	1429
776	4956	1422
777	4961	1415
778	4966	1409
779	4971	1402
780	4976	1395
781	4981	1388
782	4986	1381
783	4991	1375
784	4995	1368
785	5000	1361
786	5005	1354
787	5010	1348
788	5015	1341
789	5020	1334
790	5027	1328
791	5031	1321
792	5038	1315
793	5043	1308
794	5048	1301
795	5053	1295
796	5058	1288
797	5064	1281
798	5070	1275
799	5077	1269
800	5082	1262
801	5088	1256
802	5093	1249
803	5097	1242
804	5103	1236
805	5108	1229
806	5115	1223
807	5122	1217
808	5128	1210
809	5133	1204
810	5137	1197
811	5143	1190
812	5148	1184
813	5156	1178
814	5161	1171
815	5167	1165
816	5173	1158
817	5180	1152
818	5185	1146
819	5193	1140
820	5200	1133
821	5206	1127
822	5211	1120
823	5218	1114
824	5223	1107
825	5228	1101
826	5233	1094
827	5238	1088
828	5245	1081
829	5250	1075
830	5255	1068
831	5260	1062
832	5264	1055
833	5272	1049
834	5276	1042
835	5283	1036
836	5288	1029
837	5292	1023
838	5298	1016
839	5304	1010
840	5309	1003
841	5315	997
842	5320	990
843	5325	984
844	5329	977
845	5336	971
846	5342	965
847	5350	959
848	5355	952
849	5362	946
850	5367	939
851	5373	933
852	5377	926
853	5382	920
854	5387	913
855	5392	907
856	5398	900
857	5402	894
858	5407	887
859	5412	881
860	5416	874
861	5421	867
862	5426	861
863	5432	855
864	5437	848
865	5443	842
866	5448	835
867	5453	829
868	5460	823
869	5467	816
870	5471	810
871	5477	804
872	5482	797
873	5487	791
874	5491	784
875	5496	778
876	5501	771
877	5506	765
878	5513	758
879	5517	752
880	5522	745
881	5528	739
882	5532	733
883	5537	726
884	5542	720
885	5547	713
886	5553	707
887	5558	701
888	5564	694
889	5569	688
890	5573	681
891	5579	675
892	5584	669
893	5590	662
894	5597	656
895	5604	650
896	5610	644
897	5616	637
898	5622	631
899	5628	625
900	5633	618
901	5637	612
902	5643	606
903	5649	599
904	5655	593
905	5660	587
906	5666	581
907	5671	574
908	5676	568
909	5683	562
910	5688	555
911	5696	549
912	5700	543
913	5706	536
914	5710	530
915	5715	524
916	5720	517
917	5725	511
918	5731	505
919	5737	498
920	5744	492
921	5748	486
922	5754	480
923	5759	473
924	5764	467
925	5770	461
926	5776	454
927	5782	448
928	5787	442
929	5791	435
930	5797	429
931	5802	423
932	5807	417
933	5812	410
934	5819	404
935	5823	398
936	5828	391
937	5833	385
938	5838	379
939	5843	373
940	5849	366
941	5853	360
942	5859	354
943	5864	347
944	5869	341
945	5875	335
946	5879	329
947	5886	322
948	5891	316
949	5898	310
950	5904	304
951	5911	298
952	5916	291
953	5924	285
954	5929	279
955	5936	273
956	5941	266
957	5947	260
958	5952	254
959	5958	248
960	5963	242
961	5968	235
962	5974	229
963	5978	223
964	5985	217
965	5990	210
966	5996	204
967	6001	198
968	6007	192
969	6012	185
970	6017	179
971	6022	173
972	6028	167
973	6034	161
974	6038	154
975	6045	148
976	6050	142
977	6055	136
978	6059	129
979	6064	123
980	6069	117
981	6074	111
982	6080	105
983	6084	98
984	6090	92
985	6095	86
986	6099	80
987	6105	74
988	6110	67
989	6116	61
990	6120	55
991	6125	49
992	6130	43
993	6135	37
994	6140	30
995	6145	24
996	6150	18
997	6156	12
998	6160	6
999	6165	0
