iter	Logloss
0	0.5659771368
1	0.4725268687
2	0.3987299025
3	0.3449269928
4	0.3068443929
5	0.2751896906
6	0.2506871136
7	0.2313121771
8	0.2170077791
9	0.2048728869
10	0.1949797967
11	0.1877180764
12	0.1805192417
13	0.1745261423
14	0.1695822035
15	0.1645763315
16	0.1612260344
17	0.1579250172
18	0.1547380605
19	0.1519376239
20	0.149398352
21	0.1476510939
22	0.1456637266
23	0.1435108226
24	0.1415420524
25	0.1403483965
26	0.1389520706
27	0.1376892467
28	0.1360152055
29	0.1350473505
30	0.1336234597
31	0.1323207583
32	0.1314634148
33	0.1306226706
34	0.1298478484
35	0.1287675274
36	0.1282817439
37	0.1274980266
38	0.1270323923
39	0.1262651306
40	0.1255258319
41	0.1250516046
42	0.1247047433
43	0.1241861399
44	0.1236154172
45	0.123159486
46	0.122753394
47	0.1223660048
48	0.1219315747
49	0.1215155667
50	0.1211208495
51	0.1206758482
52	0.1203385315
53	0.1201014983
54	0.1195694004
55	0.119295341
56	0.1190400393
57	0.118743394
58	0.1184162186
59	0.1179755508
60	0.1175233073
61	0.1172836711
62	0.1169816477
63	0.1166908484
64	0.1165527546
65	0.1161275243
66	0.115882436
67	0.115554085
68	0.1153102643
69	0.1150927456
70	0.1149429854
71	0.1146332355
72	0.1142795526
73	0.1140657925
74	0.1137555972
75	0.1135478868
76	0.113332537
77	0.1131221125
78	0.1129367106
79	0.1127943472
80	0.1126846661
81	0.112540984
82	0.1123359076
83	0.1121824517
84	0.1118262599
85	0.1116350512
86	0.1114527696
87	0.1112431846
88	0.1110759016
89	0.1109313953
90	0.110817086
91	0.110767437
92	0.1106737116
93	0.1104412482
94	0.1103147633
95	0.1100532109
96	0.1098662218
97	0.109767699
98	0.1095022445
99	0.1093185124
100	0.1091613706
101	0.1090338505
102	0.1088753481
103	0.1085570754
104	0.1083326469
105	0.1082536821
106	0.1081260228
107	0.107953585
108	0.1078676266
109	0.1076440971
110	0.1074655263
111	0.1073142353
112	0.1072137961
113	0.1071060565
114	0.1070140074
115	0.1068240608
116	0.106709061
117	0.1065892912
118	0.1064562849
119	0.1063537005
120	0.1061915809
121	0.1060975853
122	0.1059697408
123	0.1058715566
124	0.1057444453
125	0.1056123715
126	0.1055032039
127	0.1054118727
128	0.1052791072
129	0.105190172
130	0.1050880619
131	0.1049848549
132	0.1048426436
133	0.1047546245
134	0.1046636736
135	0.1045914663
136	0.1045744529
137	0.1044643626
138	0.104383786
139	0.1042353036
140	0.1041517405
141	0.1039741766
142	0.1038518766
143	0.1037983477
144	0.1037364471
145	0.1036171032
146	0.1035354646
147	0.1034685469
148	0.1033272537
149	0.1032267887
150	0.1031396531
151	0.1031049052
152	0.1030124941
153	0.1029258242
154	0.1027956638
155	0.1027187962
156	0.1025778007
157	0.1025005738
158	0.1023499834
159	0.1023032497
160	0.1022325177
161	0.1021785303
162	0.102088545
163	0.1019469541
164	0.1018803838
165	0.1017821496
166	0.1016226481
167	0.101563845
168	0.101442056
169	0.1013753041
170	0.1012708601
171	0.1011159955
172	0.1009774943
173	0.1008538085
174	0.1007075994
175	0.1006076702
176	0.1004737383
177	0.1004053941
178	0.1002934943
179	0.1002234392
180	0.1001638604
181	0.1000802853
182	0.1000143035
183	0.09996217196
184	0.0998154247
185	0.09975202185
186	0.09965570388
187	0.09956328433
188	0.09950987105
189	0.0993865931
190	0.09928473436
191	0.09923234526
192	0.09910913432
193	0.09901424866
194	0.09888033872
195	0.09884785746
196	0.0987648594
197	0.0987176455
198	0.09866561714
199	0.0986007756
200	0.09850267911
201	0.09844915832
202	0.09836190962
203	0.09828673421
204	0.09819073746
205	0.09810080932
206	0.0980233154
207	0.0979165676
208	0.09783233275
209	0.09773127279
210	0.09769268363
211	0.09761978153
212	0.09755280624
213	0.09749883063
214	0.09742412194
215	0.09736946531
216	0.09732841803
217	0.09723401271
218	0.09718043808
219	0.09708640292
220	0.09701937397
221	0.09690680405
222	0.09687147191
223	0.09682298722
224	0.09676863942
225	0.09673952158
226	0.09671062544
227	0.09663321559
228	0.09658395952
229	0.09652124313
230	0.09644804598
231	0.09637911285
232	0.09630833954
233	0.09625957057
234	0.0962098127
235	0.09614722839
236	0.09607259977
237	0.09603235073
238	0.09597429731
239	0.09587043866
240	0.09581445232
241	0.09577525077
242	0.09569832353
243	0.09563599692
244	0.09558972469
245	0.09552401929
246	0.0954896544
247	0.09543545148
248	0.0953879922
249	0.09529388676
250	0.09523163283
251	0.09518896679
252	0.0950709833
253	0.09503804983
254	0.09496442729
255	0.09492896763
256	0.09487485204
257	0.09483148351
258	0.09475579896
259	0.09469679782
260	0.09466221212
261	0.09461241239
262	0.09458532754
263	0.094527654
264	0.09441297293
265	0.09438904942
266	0.09436984965
267	0.09431833248
268	0.09429337678
269	0.09425594354
270	0.09422740797
271	0.09419705539
272	0.09413947617
273	0.09407795835
274	0.0940057291
275	0.09396914811
276	0.09393569162
277	0.09388497085
278	0.09382759953
279	0.0937206875
280	0.09367427461
281	0.09365054251
282	0.09360655018
283	0.09356243515
284	0.09350847615
285	0.09348177365
286	0.09339182888
287	0.09333840253
288	0.09331462243
289	0.09329281373
290	0.09324835105
291	0.09321839709
292	0.09314947395
293	0.09306058535
294	0.09303181429
295	0.09300955607
296	0.09297987472
297	0.09290082957
298	0.09288172188
299	0.09283881432
300	0.09279496695
301	0.09275402505
302	0.09270327359
303	0.09264467988
304	0.09259670259
305	0.09256199409
306	0.09254195235
307	0.09246843734
308	0.09241566291
309	0.09238918905
310	0.09232139216
311	0.09230044937
312	0.09223010399
313	0.09220548324
314	0.09218268251
315	0.09214653734
316	0.09211992502
317	0.09205450846
318	0.09197495016
319	0.09192632143
320	0.0918611269
321	0.09181719821
322	0.09179514136
323	0.09177286268
324	0.09173587458
325	0.09167019122
326	0.09163114823
327	0.09160359583
328	0.09155956525
329	0.09155254524
330	0.09151786358
331	0.09148543717
332	0.09146997068
333	0.09144559517
334	0.09142094327
335	0.09139165226
336	0.09132826681
337	0.09130826268
338	0.09126990569
339	0.09125118518
340	0.09120908121
341	0.09118794177
342	0.09114364453
343	0.09112375574
344	0.09108652981
345	0.09106725557
346	0.09106108368
347	0.09102455029
348	0.09099024897
349	0.09095546004
350	0.09088226203
351	0.09085150255
352	0.09083805773
353	0.09081460547
354	0.09079263078
355	0.09076390445
356	0.09072882303
357	0.09069620421
358	0.09066717751
359	0.09061586658
360	0.09056195618
361	0.09053687536
362	0.09045056566
363	0.09042077125
364	0.09039549686
365	0.09037516143
366	0.09031901543
367	0.09029804753
368	0.09025438555
369	0.09023619412
370	0.09019258828
371	0.09016919702
372	0.09012919761
373	0.09011133415
374	0.09003281255
375	0.08999434311
376	0.08997865889
377	0.08991831136
378	0.08989704371
379	0.08984607258
380	0.08981273262
381	0.08978410857
382	0.08972864029
383	0.08967922211
384	0.08966126324
385	0.08963539315
386	0.08960574403
387	0.08958098103
388	0.08954475328
389	0.08951549937
390	0.0894669599
391	0.08940377229
392	0.08933710653
393	0.08931812413
394	0.08930216951
395	0.08926620599
396	0.08920677821
397	0.08918441214
398	0.08915800867
399	0.08908446406
400	0.08905396261
401	0.08904922416
402	0.0890341508
403	0.08899943064
404	0.08898084188
405	0.088950536
406	0.08893647896
407	0.0888782558
408	0.08884905104
409	0.0888264245
410	0.08877506085
411	0.08868046039
412	0.08866338994
413	0.08865405748
414	0.08862123599
415	0.08854425512
416	0.08851690404
417	0.08845691395
418	0.08842714739
419	0.08835539019
420	0.08830441404
421	0.08828156615
422	0.08826821155
423	0.0882513696
424	0.0882399079
425	0.08819321128
426	0.08814839789
427	0.08810718272
428	0.0880686674
429	0.088032673
430	0.08798367041
431	0.08796540149
432	0.08792359129
433	0.08788031177
434	0.08786267295
435	0.08784374331
436	0.08783083316
437	0.08780344393
438	0.08778968099
439	0.08773444157
440	0.08771636477
441	0.08769558603
442	0.08765445406
443	0.08763753815
444	0.08760019924
445	0.08758957031
446	0.08757393935
447	0.08753720858
448	0.08749287879
449	0.08744934349
450	0.08742941912
451	0.08739438702
452	0.08737160884
453	0.08736716227
454	0.08730771052
455	0.08724717636
456	0.08716629363
457	0.08713687773
458	0.0870857194
459	0.08703042082
460	0.08699982971
461	0.08699214218
462	0.08696225213
463	0.08691255928
464	0.08688578165
465	0.08685491254
466	0.08680760852
467	0.0867450662
468	0.08669053353
469	0.0866348962
470	0.08662182925
471	0.08659907443
472	0.08658617162
473	0.08658617261
474	0.08653954819
475	0.08649051299
476	0.08645423549
477	0.08642722301
478	0.0864272231
479	0.0864272305
480	0.08642726891
481	0.08641136405
482	0.08641133658
483	0.08638931402
484	0.08638934217
485	0.08638931406
486	0.08634401393
487	0.08630053762
488	0.08630055893
489	0.08625800695
490	0.08625800557
491	0.08625801283
492	0.08624026387
493	0.08621505891
494	0.08619669609
495	0.08617766515
496	0.08610007176
497	0.08605894754
498	0.08605891706
499	0.08604640436
500	0.08604647779
501	0.08604642303
502	0.08604645235
503	0.08601947657
504	0.08601945411
505	0.08601949144
506	0.086019456
507	0.08601948066
508	0.0859932779
509	0.08599330258
510	0.08599330177
511	0.08599329685
512	0.0859932753
513	0.08599329948
514	0.08599329417
515	0.08599328329
516	0.08599328322
517	0.08599328563
518	0.08599329926
519	0.08599328037
520	0.08599328548
521	0.08599328657
522	0.08599326697
523	0.08594696089
524	0.08588944667
525	0.08585744381
526	0.08583737392
527	0.08583739471
528	0.08577809767
529	0.08577808551
530	0.0857617199
531	0.08572073487
532	0.08567875507
533	0.08567875417
534	0.08567874284
535	0.08567873727
536	0.08567875978
537	0.08563523491
538	0.08563523306
539	0.08563524966
540	0.08558148277
541	0.08555223002
542	0.08553352848
543	0.0855120243
544	0.08547774216
545	0.08541680204
546	0.08537740129
547	0.0853773896
548	0.08535450168
549	0.08533585187
550	0.08533582376
551	0.08530741706
552	0.08530740363
553	0.08528369525
554	0.08525906589
555	0.08525908624
556	0.08525907187
557	0.08523556957
558	0.08519843173
559	0.08518433569
560	0.08518431426
561	0.08518430998
562	0.08518431901
563	0.08516695884
564	0.08516695818
565	0.08516691041
566	0.08516693918
567	0.08516693021
568	0.08514763241
569	0.08513705104
570	0.08513702244
571	0.08513703397
572	0.08513702794
573	0.08513702802
574	0.0850985844
575	0.08509852946
576	0.08509853812
577	0.08509854678
578	0.08509854767
579	0.08509855539
580	0.08509856049
581	0.085098558
582	0.08509854893
583	0.0850985324
584	0.08505894246
585	0.08503882903
586	0.08503880862
587	0.08503879687
588	0.08503880387
589	0.08501199107
590	0.0849954127
591	0.08499541495
592	0.08499538333
593	0.08499540194
594	0.08499539598
595	0.08499539897
596	0.08499539029
597	0.08499540619
598	0.08499539159
599	0.08499539705
600	0.08499536804
601	0.08499541251
602	0.08499538819
603	0.08497935149
604	0.08497935559
605	0.08497932303
606	0.08496312795
607	0.08496311502
608	0.08494115552
609	0.08494115474
610	0.08492370992
611	0.0848694027
612	0.0848693685
613	0.08483907368
614	0.08483901474
615	0.08482271867
616	0.08479496507
617	0.08479500399
618	0.08479498726
619	0.08479499197
620	0.08477244867
621	0.08477241269
622	0.08477241732
623	0.08471374264
